Name,Industry,Sector,Headquarters,Founded,Notes,Status
One Bank Limited,Financials,Banks,Dhaka,1999,Commercial bank,P
Orion Group,Conglomerates,-,Dhaka,1985[5],"Pharmaceuticals, real estate, construction, power, hospitality, textiles, aviation",P
Otobi,Consumer goods,Furnishings,Dhaka,1975,Furniture,P
Padma Oil Company,Oil & gas,Exploration & production,Dhaka,1965,,P
Paradise Group of Industries,Conglomerates,-,Narayanganj,1985,"Electrical cable, textiles, engineering, real estate",P
Partex Group,Conglomerates,-,Dhaka,1959,"Food & beverages, steel, real estate, furniture, plastics, paper, power & energy, jute, agribusiness, shipyards, shipping, textiles, construction, IT, cabling, aviation, garments, PVC, ceramics, telecommunication, Oil",P
Petrobangla,Oil & gas,Exploration & production,Dhaka,1972,National oil company,P
Power Grid Company of Bangladesh,Utilities,Conventional electricity,Dhaka,1996[6],,P
Pragoti,Consumer goods,Automobiles,Chittagong,1966,Automobiles,S
PRAN-RFL Group,Consumer goods,Pran Food and Beverage & RFL Plastic and Home Appliance,Dhaka,1981,"Food and beverage, plastic products, home appliance",P
Pride Group,Consumer goods,Clothing & accessories,Dhaka,1958,,P
Prime Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank,P
Prothom Alo,Consumer services,Publishing,Dhaka,1998,Newspaper,P
Pubali Bank,Financials,Banks,Dhaka,1959,Private commercial bank,P
Radio Foorti,Consumer services,Broadcasting & entertainment,Dhaka,2006,Radio,P
Radio Today,Consumer services,Broadcasting & entertainment,Dhaka,2006,Radio,P
Rahimafrooz,Conglomerates,-,Chittagong,1954,"Retail, electronics, automotive, oil & gas",P
Rajshahi Krishi Unnayan Bank,Financials,Banks,Rajshahi,1986,State-owned bank,S
Rangs Group,Conglomerates,-,Dhaka,1979,"Automobile, electronics, real estate, shipping",P
RanksTel,Telecommunications,Fixed line telecommunications,Dhaka,2004,Fixed line,P
Regent Airways,Consumer services,Airlines,Dhaka,2010,"Private airline, part of Habib Group",P
Regent Power Limited,Utilities,Conventional electricity,Chittagong,2007,Part of Habib Group,P
Renata Limited,Health care,Pharmaceuticals,Dhaka,1993,Pharmaceuticals,P
Robi,Telecommunications,Mobile telecommunications,Dhaka,1997,4G cellular,P
RTV,Consumer services,Broadcasting & entertainment,Dhaka,2005,Satellite TV channel,P
Runner automobiles Ltd.,Consumer goods,Automobiles,Dhaka,2000,Automobiles,P
Rupali Bank,Financials,Banks,Dhaka,1972,State-owned bank,S
Sadharan Bima Corporation,Financials,Full line insurance,Dhaka,1973,State-owned non-life insurance company,S
Sajeeb Group,Conglomerates,-,Dhaka,1982,"Food & beverage, basic materials, construction, oil & gas, industrial transportation, real estate",P
SA TV,Consumer services,Broadcasting & entertainment,Dhaka,2013,Satellite TV channel,P
Samakal,Consumer services,Publishing,Dhaka,2005,Newspaper,P
